,Time,Tweet,User,Location,Retweets,Likes
0,2022-11-06 23:59:59+00:00,RT @TheUSASingers: Elon Musk is shutting down accounts impersonating him because free speech.,2_blue4,US,497,0
1,2022-11-06 23:59:59+00:00,"RT @CalltoActivism: BREAKING: Twitter seems to be banning people who parody Elon Musk.

What happened to free speech? 🤔",alfaropickle910,La Coste Texas,5710,0
2,2022-11-06 23:59:59+00:00,RT @ElectionWiz: JUST IN: Kathy Griffin’s Twitter account has been suspended after she made numerous fake post impersonating Elon Musk. “Go…,T_Khule,"Thohoyandou, South Africa ",2337,0
3,2022-11-06 23:59:59+00:00,In Elon Musk We Trust 💵 https://t.co/aEQSB9i7I0,BarbaraCormac,,3,37
4,2022-11-06 23:59:59+00:00,RT @CalltoActivism: BREAKING: Kathy Griffin has been suspended from Twitter for trolling Elon Musk by changing her profile image and name t…,VinceWr98053114,,15675,0
5,2022-11-06 23:59:59+00:00,"RT @CalltoActivism: BREAKING: Twitter seems to be banning people who parody Elon Musk.

What happened to free speech? 🤔",allan_jqs,,5710,0
6,2022-11-06 23:59:58+00:00,@elonmusk Elon Musk (parody): my wife left me and I have hair plugs,ole__dave,"Nashville, TN",0,0
7,2022-11-06 23:59:58+00:00,"RT @kylenabecker: UPDATE.🚨

20 Woke corporations have joined in the crusade against Americans' free speech rights and have pulled ads due t…",Farmgir00441729,,3720,0
8,2022-11-06 23:59:58+00:00,RT @OccupyDemocrats: BREAKING: Supermodel Gigi Hadid announces that she’s leaving Twitter because Elon Musk and his “new leadership” make i…,Mhduke2,,2692,0
9,2022-11-06 23:59:58+00:00,"RT @BriannaWu: Just getting real with you. The reason I didn't change my Twitter name to ""Elon Musk"" and Tweet snark is I thought the odds…",refrag,"Chicago, IL",122,0
10,2022-11-06 23:59:58+00:00,"RT @lindyli: Elon Musk just threatened to permanently suspend anyone who’s impersonating him

He’s blaming activists for his own poor decis…",7_2_Eternity,,4620,0
11,2022-11-06 23:59:58+00:00,Now that Kathy Griffin has been suspended… who’s Elon Musk now?,MissJew72,"Santa Rosa, CA",0,0
12,2022-11-06 23:59:58+00:00,RT @CalltoActivism: BREAKING: Kathy Griffin has been suspended from Twitter for trolling Elon Musk by changing her profile image and name t…,fuzionbunny,,15675,0
13,2022-11-06 23:59:58+00:00,"RT @MattNavarra: CONFIRMED: Twitter is now asking some fired workers to please come back

- Some were laid off by mistake

- Some were let…",galaktikproblem,Germany,19267,0
14,2022-11-06 23:59:58+00:00,"RT @BlackKnight10k: You can say the n-word with a hard ""r"" elevnty gazillion times on here with no consequences but if you change your scre…",ChuckOlson5,,5477,0
15,2022-11-06 23:59:58+00:00,On the count of 3 we should all change our Twitter name to Elon Musk just to see what happens…who’s with me??? https://t.co/J7xXD53wti,rosenspussycat,Mark’s Lap,0,0
16,2022-11-06 23:59:58+00:00,"RT @RespectableLaw: Hi, I'm Elon Musk (Parody). Three years after Jeffrey Epstein pled guilty to procuring a child for prostitution and sho…",CollinJones,"Akron, OH",14544,0
17,2022-11-06 23:59:57+00:00,RT @CalltoActivism: BREAKING: Kathy Griffin has been suspended from Twitter for trolling Elon Musk by changing her profile image and name t…,lovepeoplejo,"Virginia, USA",15675,0
18,2022-11-06 23:59:57+00:00,@JUNlPER @elonmusk Thank you Elon Musk for being a champion for free speech,Eugheughlauhhh,Seaside Canadia,0,1
19,2022-11-06 23:59:57+00:00,RT @OccupyDemocrats: BREAKING: Supermodel Gigi Hadid announces that she’s leaving Twitter because Elon Musk and his “new leadership” make i…,CHAZMO24,"Myrtle Beach, SC",2692,0
20,2022-11-06 23:59:57+00:00,RT @CalltoActivism: BREAKING: Kathy Griffin has been suspended from Twitter for trolling Elon Musk by changing her profile image and name t…,makeithoppy,"Oregon, USA",15675,0
21,2022-11-06 23:59:57+00:00,"Every Elon Musk Twitter account is a parody account.
#MuskStinks https://t.co/9ZCeqpVY3n",HoweDefendsUSA,"Carlisle, PA",0,0
22,2022-11-06 23:59:57+00:00,"RT @doggygirl_tunes: EVERYONE please listen, with elon musk's fuckery i need everyone to set their timeline to show latest tweets instead o…",cactuss_0,,1923,0
23,2022-11-06 23:59:57+00:00,I remember some months ago I was thrilled and happy when the news broke that Elon Musk takes over twitter. Months later this guy seems to me to be acting like a maniac https://t.co/E36Ew09jIA https://t.co/jwS2KdmytM,gijjstalking,Antigua kai Barbuda,0,0
24,2022-11-06 23:59:57+00:00,RT @L0ST_VEGAS: So apparently Elon Musk announced plans to revamp the branding of Twitter? They’re changing the trademark blue  color to gr…,oscxrwilde,"dublin, ireland",8218,0
25,2022-11-06 23:59:56+00:00,"RT @RespectableLaw: Hi, I'm Elon Musk (Parody). Three years after Jeffrey Epstein pled guilty to procuring a child for prostitution and sho…",incompetusrex,,14544,0
26,2022-11-06 23:59:56+00:00,"RT @RespectableLaw: Hi, I'm Elon Musk (Parody). Three years after Jeffrey Epstein pled guilty to procuring a child for prostitution and sho…",Fat_Aaron,"St Paul, MN",14544,0
27,2022-11-06 23:59:56+00:00,RT @CalltoActivism: BREAKING: Kathy Griffin has been suspended from Twitter for trolling Elon Musk by changing her profile image and name t…,godslongbones,"Seattle, WA.",15675,0
28,2022-11-06 23:59:56+00:00,RT @CalltoActivism: BREAKING: Kathy Griffin has been suspended from Twitter for trolling Elon Musk by changing her profile image and name t…,march4progress,Earth 2 - Bernie is President ,15675,0
29,2022-11-06 23:59:56+00:00,RT @CalltoActivism: BREAKING: Kathy Griffin has been suspended from Twitter for trolling Elon Musk by changing her profile image and name t…,jymbo916,"California, USA",15675,0
30,2022-11-06 23:59:56+00:00,"RT @dra_gaby_luna: Mr Elon Musk there is a radical group called Sussex Squad that enters Twitter to attack, blame the KKK on the Princess o…",AlisonJ34870374,,1,0
31,2022-11-06 23:59:55+00:00,RT @oneunderscore__: .@kathygriffin’s account has been suspended for impersonating Elon Musk.,heathermae777,Pacific Northwest,861,0
32,2022-11-06 23:59:55+00:00,"@JenCrypto75 @ahmed83203489 APESCOIN-MEMECOIN OF KING ELON MUSK
Relaunch of the very known ratscoin that did over 200x.They will now be launching as Apescoin
✅SC/HC:75/120BNB
✅Max:0.8BNB
✅Tax:4%
✅KYCED &amp; AUDITED
⏱Nov 11st
https://t.co/IPWHlNvL0D
https://t.co/XgNFC1H4V1
#ApesCoin #BSC #Relaunch
#1329",ufoshill,,0,0
33,2022-11-06 23:59:55+00:00,"@elonmusk Likewise, anyone with the name Elon Musk in their Twitter title, is *clearly* parody. Including you, sir.",jonwahllefebre,"Oklahoma, USA",0,0
34,2022-11-06 23:59:55+00:00,RT @cpoliticditto: The only thing thinner than Elon Musk’s natural hair is his skin. What a pussy. https://t.co/TfvsrYgMMj,piusdominguez,,112,0
35,2022-11-06 23:59:55+00:00,RT @NeilMackay: Twitter appears to have suspended the account of comedian @kathygriffin because she took the piss out of Elon Musk. Free sp…,KRam619,"California, USA",198,0
36,2022-11-06 23:59:55+00:00,RT @Julius_Kim: What Elon Musk doesn’t understand is that Donald Trump doesn’t use Twitter to express himself. He uses Twitter to incite pe…,jh4democracy,,2038,0
37,2022-11-06 23:59:55+00:00,RT @theRealKiyosaki: LIBERALS made Elon Musk a rich man buying Teslas. Elon now cleaning house at Twitter with Liberals money. There must b…,efrandrico,,6939,0
38,2022-11-06 23:59:55+00:00,RT @fozmeadows: inside you are two wolves. one wants twitter to survive as a useable platform; the other wants elon musk to suffer on a hit…,MiklCraw4d,Los Angeles/North Carolina,4338,0
39,2022-11-06 23:59:55+00:00,"RT @MattNavarra: CONFIRMED: Twitter is now asking some fired workers to please come back

- Some were laid off by mistake

- Some were let…",CynthiaSpotswo1,,19267,0
40,2022-11-06 23:59:54+00:00,"RT @CNN: President Biden called out Elon Musk, saying the billionaire had purchased a social media platform that “spews lies all across the…",AMadolche,"Portland, OR",663,0
