,Time,Tweet,User,Location,Retweets,Likes
0,2022-11-06 23:59:59+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",flams22,aux alentours de Montréal,23399,0
1,2022-11-06 23:59:59+00:00,@puma9253 @MarionTiger @noremorseboxing @44Vasquez @CalltoActivism Ppl on social media dont like billionaires.,Marshall_Tirade,What,0,1
2,2022-11-06 23:59:59+00:00,"@POTUS You’re fact checking the President of the United States?! That is such an escalation of bias and involvement in politics that you, as a social media company, should not have!! …… 😉",crypto_diehard,,0,0
3,2022-11-06 23:59:58+00:00,RT @mcten: Full transcript of LeBron James’ answers tonight condemning Kyrie Irving’s social media posts and subsequent statements as “harm…,jaceron138,,269,0
4,2022-11-06 23:59:58+00:00,"@mmasnick @akronisticlotor When it started: social media is too important to be left to a single company/man

Mastodon arrives. Literally what is asked for. Not left to a single org. Also miraculously not siloed or walled gardens.Flawed. Not perfect. But perfectly usable.

Now it is “too complicated”?",sandipb,"Toronto, Ontario",0,2
5,2022-11-06 23:59:56+00:00,"RT @TransComics: Alt Social Media sites I'm attempting to use. 

Discord: Ask 
Pillowfort [NSFW]: AlexisSAra
Tumblr: GoddessAlexisSara
Tumb…",karudd,san francisco ca,6,0
6,2022-11-06 23:59:54+00:00,"RT @CNN: President Biden called out Elon Musk, saying the billionaire had purchased a social media platform that “spews lies all across the…",AMadolche,"Portland, OR",663,0
7,2022-11-06 23:59:54+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",OrbyFans,"Ohio, USA",23399,0
8,2022-11-06 23:59:54+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",foliarr,,23399,0
9,2022-11-06 23:59:53+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",AnxiouslyWrit,Fandom,23399,0
10,2022-11-06 23:59:53+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",earcos,"Madrid, Comunidad de Madrid",23399,0
11,2022-11-06 23:59:52+00:00,@AvgAndy Looks like Kathy will have to start her own social media platform now...,MrJohnHooper,Alberta,0,2
12,2022-11-06 23:59:52+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",luwuthy,,23399,0
13,2022-11-06 23:59:52+00:00,It feels like nobody’s even making money off the detritus anymore. But we have to pick our way through it all to go anywhere or find anything. Social media is the Giant Pacific Garbage Patch.,beyerstein,"Brooklyn, NY",12,66
14,2022-11-06 23:59:51+00:00,@elonmusk You could be doing many things in your position to make the world a better place and you’re fighting on a social media platform. 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,CowboysHornsFan,austin tx,0,0
15,2022-11-06 23:59:51+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",david_varley,"Portland, ME",23399,0
16,2022-11-06 23:59:51+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",tigerpunk,"Espinho, Portugal",23399,0
17,2022-11-06 23:59:50+00:00,RT @RikHavic: Is it any coincidence that the media is fixated on crapping on Biden and not sharing the fact that Republicans will gut Socia…,Msgigimac1,"Mpls, Mn",959,0
18,2022-11-06 23:59:50+00:00,"RT @JarofRubiesArt: ✨ MIGRATING ARTIST SHARE THREAD ✨

I know we're all scared about the current social media climate so please share your…",piixelbaka,,232,0
19,2022-11-06 23:59:50+00:00,"Elon is offering to put social media back into our hands. If simply for that, I support the account verification fees.",jhope30203,"Tokyo-to, Japan",0,0
20,2022-11-06 23:59:50+00:00,RT @byelacey: twitter is my favourite social media because i’m a social lurker. even in real life i’m quiet. i don’t particularly enjoy one…,Kashuufucker,,10638,0
21,2022-11-06 23:59:50+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",ThPersian,,23399,0
22,2022-11-06 23:59:50+00:00,RT @byelacey: twitter is my favourite social media because i’m a social lurker. even in real life i’m quiet. i don’t particularly enjoy one…,RedPizzaWolf,Your Mum,10638,0
23,2022-11-06 23:59:50+00:00,"RT @oneunderscore__: Like I always say with content moderation, every social media site owner who is “pro free speech” meets their line eve…",xmutantkidx,Ela/Dela (She/Her) || 23,23399,0
24,2022-11-06 23:59:50+00:00,"RT @annaturley: When you realise that just because you’ve bought a social media platform, it doesn’t mean you can control how people use it…",nowayjomo,,4,0
25,2022-11-06 23:59:50+00:00,RT @BruceHamm7: It really disgusts me when a fan trashes HIS OR HER OWN QB on SOCIAL MEDIA about a bad pass when he performs well. It’s lik…,CAliGurl201,"Birmingham, Alabama",9,0
26,2022-11-06 23:59:49+00:00,y do social media have yall act like that 😂😂😂😂smh,havenkashlyn,,0,0
27,2022-11-06 23:59:49+00:00,RT @ArmaniWatts23: Y’all on here sick if you think I care about follows or social media at that 💀,_lilmook7,"Columbus, GA",4,0
28,2022-11-06 23:59:48+00:00,"RT @OldManLefty1: South Dakota GOP candidate Joel Koskan, has deleted his social media accounts after a family member stepped forward to sa…",pudy221, Virginia,4574,0
