,Time,Tweet,User,Location,Retweets,Likes
0,2022-11-06 23:59:59+00:00,"RT @SELISA327: Lisa so prettyyyyyy early in the morning😭😭😭 

LALISA HAMILTON TAKEOVER 
#MONEY #SG

 https://t.co/MfamLaLjbV",dayodyo,IG - @lalalalisa_m ,197,0
1,2022-11-06 23:59:59+00:00,@DiretoDaAmerica Millions of Brazilians are peacefully protesting their fraudulent Presidential Election and asking their Military to intervene to prevent the Communist Takeover. Public discussion of the Election is outlawed and there is no Media coverage of the Protests. #bolsonaro  #fraud https://t.co/JXcuFRC1MY,westandunited24,California,0,0
2,2022-11-06 23:59:59+00:00,"RT @lalaluvlalisa: you’re definitely not like those other girls at all 🥺

LALISA HAMILTON TAKEOVER 
#NETIZENSREPORT #LISA for Asian Celebri…",TT01270512,ประเทศไทย,281,0
3,2022-11-06 23:59:59+00:00,"RT @Lsglobal_: My Typa girl is here 🤩

LALISA HAMILTON TAKEOVER #MONEY #SG 
#NETIZENSREPORT #LISA for Asian Celebrity of the Year #ACOTY202…",9f0462026637489,,377,0
4,2022-11-06 23:59:58+00:00,"RT @AoMAm63970431: เจ้าแม่ CELINE มาแล้ว

LALISA HAMILTON TAKEOVER #MONEY #SG 

#NETIZENSREPORT #LISA for Asian Celebrity of the Year #ACOT…",4ever32797,,229,0
5,2022-11-06 23:59:58+00:00,"RT @LaliceUpdates: Lisoo 🐰🐥😅

LALISA HAMILTON TAKEOVER 
#MONEY #SG 

#NETIZENSREPORT #LISA for Asian Celebrity of the Year #ACOTY2022 @then…",DumbbellDoggo,,1140,0
6,2022-11-06 23:59:58+00:00,"RT @kylenabecker: UPDATE.🚨

20 Woke corporations have joined in the crusade against Americans' free speech rights and have pulled ads due t…",Farmgir00441729,,3720,0
7,2022-11-06 23:59:58+00:00,"RT @Iiliworld: Lisaaa please 😭😭😂

LALISA HAMILTON TAKEOVER #MONEY #SG 
#NETIZENSREPORT #LISA for Asian Celebrity of the Year #ACOTY2022 @th…",Lalisa3273,,406,0
8,2022-11-06 23:59:58+00:00,"RT @LaliceUpdates: Lisoo 🐰🐥😅

LALISA HAMILTON TAKEOVER 
#MONEY #SG 

#NETIZENSREPORT #LISA for Asian Celebrity of the Year #ACOTY2022 @then…",97KILILIFLIM,,1140,0
9,2022-11-06 23:59:57+00:00,"RT @Y14Kanz: เยี่ยมไปเลอ

LALISA HAMILTON TAKEOVER #MONEY #SG 

#NETIZENSREPORT #LISA for Asian Celebrity of the Year #ACOTY2022 @thenrepor…",bluu_ld,Tarrasa - Catalunya,154,0
10,2022-11-06 23:59:57+00:00,"RT @LiliesHome_: The ways she moves! 🐣💓

LALISA HAMILTON TAKEOVER #MONEY #SG 
#NETIZENSREPORT #LISA for Asian Celebrity of the Year #ACOTY2…",LOVELEO78071463,,515,0
11,2022-11-06 23:59:57+00:00,"RT @LaliceUpdates: ITZAVIBE 22FW “Days Go Vibe”:

👚Itzavibe - CAT GUIDE MTM OATMEAL 
👖Itzavibe - EMBROIDERY LOGO JOGGER PANTS 

LALISA HAMI…",edenline_,,1153,0
12,2022-11-06 23:59:56+00:00,"RT @TheManoban_Walk: So close 😭 I love you, Lisayaaa💖

LALISA HAMILTON TAKEOVER #MONEY #SG 

#NETIZENSREPORT #LISA for Asian Celebrity of t…",rifah_gf,,35,0
13,2022-11-06 23:59:56+00:00,"RT @LaliceUpdates: Lisoo 🐰🐥😅

LALISA HAMILTON TAKEOVER 
#MONEY #SG 

#NETIZENSREPORT #LISA for Asian Celebrity of the Year #ACOTY2022 @then…",lisaforever1997,,1140,0
14,2022-11-06 23:59:55+00:00,"RT @LISANATIONS_: Typa girl you wanna wife up 🫶🏻

LALISA HAMILTON TAKEOVER 
#NETIZENSREPORT #LISA for Asian Celebrity of the Year #ACOTY202…",AA_a0327,,1151,0
15,2022-11-06 23:59:55+00:00,"RT @TheManoban_Walk: 🚨WARNING; Chaotic camera movement. Gay panicked cuz is Lisa is in close perimeter 😂

LALISA HAMILTON TAKEOVER #MONEY #…",lintang29894041,,24,0
16,2022-11-06 23:59:55+00:00,"RT @Lsglobal_: Here the tags for concert today!

LALISA HAMILTON TAKEOVER #MONEY #SG 
#NETIZENSREPORT #LISA for Asian Celebrity of the Year…",Aliceeeeee16,,713,0
