,Time,Tweet,User,Location,Retweets,Likes
0,2022-11-06 23:59:58+00:00,RT @_jmk0: New Tesla Model Y Coming In 2023 |Tesla 2023 Update https://t.co/qMbOcKfjnp via @YouTube,_jmk0,BBA/MBA Finance,1,0
1,2022-11-06 23:59:58+00:00,RT @esherifftv: What can I say? @elonmusk and @tesla know how to throw a party 😍🤩🥳 #tesla #elonmusk #aiday #cyberrodeo #cyberroundup https:…,DianaNu84941814,,535,0
2,2022-11-06 23:59:58+00:00,"RT @BriannaWu: Epilogue:

Elno is now threatening to go “thermonuclear” on these brands - attacking their reputation with his army of right…",missykender,Sleepless Near Seattle,956,0
3,2022-11-06 23:59:57+00:00,RT @garrettsite: I have been critical of FSD Beta lately but the newest version is showing a reason to get EXTREMELY EXCITED. Here are a fe…,JoshVenegas93,Murrieta,96,0
4,2022-11-06 23:59:56+00:00,"@elonmusk Anyone who had purchased a Tesla should get verified as part of their purchase, symbol should be Tesla logo.

Jester cap for parody accounts as Tim suggests.  

And a crap coil icon for Biden and the rest of his shitty staff",KilgoreMacky,,0,0
5,2022-11-06 23:59:55+00:00,"RT @RealDanODowd: Our @NYTimes full-page ad today shows @ElonMusk's Full Self-Driving will still run over children, 3 months after we repor…",TeslaFraud,NYC,81,0
6,2022-11-06 23:59:52+00:00,@TroyTeslike How’s tesla doing Troy? You think we can keep expanding 50% into 2023-2024?,holdtherelish,Canada,0,1
7,2022-11-06 23:59:47+00:00,"RT @casperj33081634: This is a CAT994A.

It Burns ~1000 liters of fuel in 12 hours. Moving ~250 tons of dirt to extract materials to produc…",Marketto35,,12297,0
8,2022-11-06 23:59:46+00:00,"RT @GergelyOrosz: Scoop: all of Musk’s companies use MS Teams for comms, where new channels are private by default.

When software engineer…",emilycrockett,"Washington, DC",3324,0
9,2022-11-06 23:59:46+00:00,"@JoshuaPHilll He studies physics and he created pay pal and sold it for hundreds of millions.  Started Space X and bought Tesla and turned it into a successful EV company. 
 What the hell have you accomplish with you life other than bitching on Twitter.",eliasmai,,0,1
10,2022-11-06 23:59:44+00:00,"RT @BriannaWu: Epilogue:

Elno is now threatening to go “thermonuclear” on these brands - attacking their reputation with his army of right…",SaraCMoss,,956,0
11,2022-11-06 23:59:43+00:00,@elonmusk Ima call it my raring Tesla,Thrashuiii,Beyound🙄{Untouchable} 👽🤖🎑,0,0
12,2022-11-06 23:59:43+00:00,"RT @Tesla: Solar + Powerwall ensures you never lose power, even if the grid goes down

🎥 @jeremyjudkins_ https://t.co/rZXpyTtnmb",A10836918A,,6340,0
